id,id_setor,id_doc
6136,4,4798
6148,11,4798
6150,30,4798
6152,13,4798
6154,16,4798
6157,40,4798
6164,28,4799
6167,0,4801
6173,11,4807
6177,0,4808
6178,45,4809
6190,0,4818
6195,47,4824
6201,46,4830
6202,0,4833
6220,0,4839
6223,0,4841
6224,0,4842
6227,0,4843
6229,0,4847
6232,0,4848
6239,36,4865
6247,0,4868
6250,0,4870
6253,0,4871
6255,46,4874
6261,21,4883
6268,4,4883
6272,0,4885
6274,0,4888
6276,0,4889
6280,0,4890
6283,0,4891
6286,0,4901
6289,25,4902
6291,47,4903
6295,16,4848
6296,16,4847
6298,20,4916
6300,4,4917
6303,20,4918
6305,20,4919
6307,35,4920
6312,0,4923
6315,11,4923
6317,22,4927
6318,30,4927
6320,0,4927
6323,0,4934
6327,0,4937
6331,0,4939
6334,26,4941
6340,0,4949
6343,0,4950
6346,0,4951
6347,0,4955
6349,0,4958
6353,6,4963
6355,20,4965
6357,20,4966
6359,36,4967
6361,0,4968
6366,0,4969
6367,11,4968
6373,0,4971
6376,0,4972
6379,0,4973
6381,26,4976
6383,46,4978
6392,0,4984
6401,19,4988
6404,4,4988
6405,19,4990
6409,20,4995
6413,0,4997
6416,0,4998
6419,0,4999
6422,0,5000
6425,0,5004
6431,11,5005
6432,13,5005
6446,30,5011
6451,0,5015
6454,0,5017
6457,0,5018
6460,0,5019
6463,0,5020
6464,0,5021
6469,0,5029
6483,20,5040
6486,0,5047
6491,0,5048
6499,0,5052
6502,0,5053
6505,0,5055
6508,0,5058
6511,0,5060
6522,20,5075
6530,11,5021
6535,0,5090
6538,0,5091
6553,0,5099
6558,0,5104
6582,13,5118
6589,0,5122
6590,38,5124
6596,30,5121
6602,0,5128
6606,13,5129
6607,20,5131
6611,20,5134
6617,0,5136
6620,0,5137
6622,41,5140
6627,0,5141
6632,0,5142
6636,0,5143
6639,0,5144
6642,0,5145
6645,0,5147
6646,0,5149
6655,0,5160
6661,28,4463
6670,11,5169
6671,11,5158
6674,20,5184
6676,20,5185
6678,20,5186
6683,11,5187
6684,20,5191
6698,4,5195
6711,11,5195
6713,30,5195
6715,13,5195
6717,16,5195
6721,40,5195
6728,37,5195
6734,28,5199
6740,0,5201
6741,47,5207
6745,13,5214
6747,51,5215
6748,4,5215
6749,0,5216
6774,0,5235
6777,0,5236
6798,0,5245
6799,0,5247
6806,0,5251
6809,49,5255
6821,0,5265
6824,0,5266
6832,0,5271
6835,0,5276
6846,0,5283
6847,46,5284
6850,0,5286
6853,0,5288
6856,0,5293
6859,0,5295
6864,0,5296
6867,0,5297
6868,46,5299
6874,11,5229
6875,11,5230
6878,0,5322
6882,4,5322
6890,0,5327
6899,20,5331
6901,20,5332
6903,20,5334
6905,20,5335
6907,20,5336
6911,0,5337
6914,0,5339
6930,11,5342
6931,47,5352
6933,21,5355
6936,4,5355
6937,0,5366
6946,0,5369
6956,4,5371
6971,11,5371
6973,30,5371
6975,13,5371
6977,16,5371
6981,40,5371
6988,37,5371
6993,45,5373
6994,0,5374
6998,0,5375
6999,0,5376
7002,36,5377
7007,0,5380
7016,0,5387
7017,54,5388
7023,0,5395
7026,0,5396
7036,0,5400
7037,11,5399
7040,0,5402
7043,0,5403
7054,20,5412
7057,11,5411
7064,0,5417
7065,0,5421
7069,45,5424
7077,40,5432
7081,35,5434
7084,46,5435
7085,28,5436
7089,0,5437
7092,0,5438
7093,49,5439
7097,0,5440
7102,0,5446
7104,0,5448
7118,0,5452
7131,46,5463
7135,20,5465
7138,37,5463
7145,36,5474
7147,3,5475
7150,49,5476
7157,46,5478
7162,13,5487
7164,16,5487
7168,30,5488
7171,11,5495
7173,45,5496
7180,0,5498
7186,11,5500
7187,11,5508
7195,0,5513
7198,0,5514
7201,0,5515
7204,0,5516
7207,0,5517
7211,0,5525
7228,20,5532
7233,21,5545
7287,0,5563
7291,46,5567
7294,0,5571
7315,0,5580
7323,47,5585
7326,0,5586
7332,0,5592
7341,0,5603
7344,0,5606
7353,11,5609
7356,0,5616
7359,0,5617
7362,0,5618
7365,0,5619
7367,0,5621
7371,4,5621
7372,0,5625
7374,20,5626
7376,20,5628
7379,20,5630
7387,30,5635
7390,0,5636
7394,20,5642
7397,22,5646
7399,0,5647
7405,0,5653
7409,13,5654
7418,49,5661
7422,40,5668
7431,0,5675
7434,0,5676
7440,0,5681
7443,21,5684
7450,0,5688
7466,0,5702
7471,0,5704
7475,0,5706
7481,40,5708
7482,21,5709
7495,0,5717
7497,0,5720
7508,0,5726
7515,11,5735
7517,4,5736
7525,49,5741
7527,49,5744
7531,49,5746
7532,37,5746
7533,49,5747
7534,37,5747
7535,49,5748
7536,36,5748
7537,19,5750
7540,0,5751
7545,0,5758
7557,11,5766
7560,26,5770
7563,0,5777
7566,11,5777
7568,49,5779
7569,0,5781
7574,0,5782
7584,11,5737
7585,11,5738
7586,0,5792
7588,11,5752
7589,11,5759
7590,11,5760
7591,11,5783
7592,11,5785
7593,11,5787
7596,0,5803
7599,0,5804
7605,6,5816
7607,11,5687
7608,47,5820
7618,0,5830
7621,0,5831
7629,13,5834
7632,13,5835
7635,13,5836
7638,0,5837
7642,0,5839
7644,11,5838
7652,11,5843
7654,11,5842
7656,0,5855
7659,37,5856
7665,0,5857
7670,0,5861
7676,0,5865
7684,0,5876
7686,0,5880
7691,0,5882
7694,0,5884
7697,0,5885
7700,0,5886
7709,20,5895
7717,11,5906
7718,0,5908
7734,22,5917
7735,11,5915
7745,0,5931
7749,26,5933
7766,20,5952
7772,21,5958
7774,4,5958
7777,13,5958
7781,30,5958
7782,16,5958
7784,40,5958
7796,0,5959
7806,9,5971
7809,13,5971
7815,13,5973
7821,13,5976
7825,13,5977
7829,13,5978
7833,13,5979
7837,13,5980
7841,13,5981
7847,22,5987
7850,0,5987
7854,11,5993
7861,0,6004
7863,0,6005
7871,0,6009
7883,0,6018
7888,11,6013
7891,0,6024
7894,0,6025
7897,0,6026
7900,0,6027
7904,0,6034
7906,20,6035
7911,0,6044
7918,0,6049
7920,49,6067
7921,13,6067
7925,40,6048
7930,0,6079
7936,0,6086
7941,0,6088
7948,49,6094
7951,0,6096
7955,0,6101
7956,40,6103
7959,40,6104
7963,0,6109
7969,11,6110
7976,49,6121
7977,37,6121
7982,45,6125
7985,0,6128
7988,13,6122
7993,13,6132
8012,49,6141
8018,49,6149
8022,0,6153
8029,49,6159
8032,0,6160
8035,0,6161
8053,0,6178
8062,0,6185
8068,40,6183
8077,0,6193
8088,11,6197
8100,28,6221
8109,28,6227
8113,0,6228
8119,36,6232
8124,13,6234
8127,37,6233
8130,0,6241
8131,4,6243
8142,11,6251
8146,11,6252
8149,0,6253
8150,47,6254
8154,0,6256
8155,0,6257
8161,19,6260
8169,0,6264
8170,0,6267
